StudentId,Name,DOB
1,Bob Johnson,1988-11-28
2,Henry Clark,1991-12-20
3,Emma Davis,1991-12-10
4,Emma Davis,1991-08-29
5,Isabella Adams,1989-07-27
6,Alice Smith,1998-05-23
7,Alice Smith,1997-03-19
8,Emma Davis,1990-09-29
9,Frank Miller,1987-07-08
10,Bob Johnson,1989-07-03
11,Henry Clark,1997-02-23
12,Frank Miller,1997-12-29
13,Emma Davis,1990-11-07
14,Alice Smith,1996-09-08
15,Henry Clark,1998-09-06
16,Bob Johnson,1985-01-06
17,Bob Johnson,1991-08-05
18,Diana Wilson,1992-10-21
19,Bob Johnson,1988-01-11
20,Frank Miller,1990-04-15
21,Henry Clark,1995-07-23
22,Grace Lee,1995-09-03
23,Grace Lee,1996-05-31
24,Frank Miller,1997-01-24
25,Emma Davis,1987-06-16
26,Diana Wilson,1988-06-29
27,Diana Wilson,1993-05-18
28,Frank Miller,1999-02-28
29,Henry Clark,1992-11-10
30,Bob Johnson,1998-03-27
31,Charlie Brown,1988-05-21
32,Frank Miller,1992-01-15
33,Jack Taylor,1999-03-22
34,Charlie Brown,1985-03-01
35,Isabella Adams,2000-07-26
36,Grace Lee,1999-01-10
37,Frank Miller,1985-05-08
38,Isabella Adams,1989-01-17
39,Bob Johnson,1986-09-27
40,Emma Davis,1993-10-09
41,Frank Miller,1989-08-23
42,Frank Miller,1989-03-05
43,Alice Smith,1990-08-18
44,Henry Clark,1985-04-27
45,Emma Davis,1999-09-29
46,Isabella Adams,1994-10-03
47,Henry Clark,1990-03-29
48,Charlie Brown,1990-09-09
49,Diana Wilson,1995-02-15
50,Isabella Adams,1991-05-22
51,Frank Miller,2000-10-22
52,Frank Miller,1988-09-10
53,Grace Lee,2000-07-22
54,Charlie Brown,1987-02-09
55,Grace Lee,1992-02-15
56,Emma Davis,1986-09-09
57,Jack Taylor,1993-06-26
58,Alice Smith,1998-08-14
59,Grace Lee,1989-06-26
60,Frank Miller,1998-11-30
61,Charlie Brown,1996-10-10
62,Alice Smith,1987-04-18
63,Frank Miller,2000-05-06
64,Frank Miller,1987-09-26
65,Emma Davis,1992-11-09
66,Emma Davis,1994-05-18
67,Jack Taylor,1988-10-20
68,Diana Wilson,1989-01-16
69,Frank Miller,1987-08-05
70,Charlie Brown,1991-09-17
71,Jack Taylor,1986-11-07
72,Jack Taylor,1991-01-19
73,Alice Smith,1995-02-15
74,Jack Taylor,1999-08-06
75,Jack Taylor,1993-11-16
76,Charlie Brown,1995-08-01
77,Charlie Brown,1987-04-03
78,Alice Smith,1997-04-27
79,Emma Davis,1991-10-05
80,Alice Smith,1989-11-17
81,Henry Clark,1991-04-12
82,Bob Johnson,2000-07-09
83,Isabella Adams,1993-11-27
84,Isabella Adams,1988-12-03
85,Emma Davis,1994-11-29
86,Bob Johnson,1989-04-29
87,Charlie Brown,1993-09-26
88,Bob Johnson,1995-10-02
89,Grace Lee,1990-01-14
90,Bob Johnson,1999-09-19
91,Grace Lee,1986-06-27
92,Charlie Brown,1991-11-29
93,Frank Miller,1998-08-21
94,Grace Lee,1995-10-19
95,Isabella Adams,1990-01-05
96,Grace Lee,1989-03-01
97,Grace Lee,1985-03-27
98,Emma Davis,1999-09-07
99,Grace Lee,1996-09-04
100,Emma Davis,1995-09-11
